Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtCreateStream,592.149,1,592.149,592.149,592.149,0
host,acl,aclrtDestroyStream,183.456,1,183.456,183.456,183.456,0
host,acl,aclrtFree,8.093,3,2.698,1.242,5.158,3.061
host,acl,aclrtFreeHost,4.506,1,4.506,4.506,4.506,0
host,acl,aclrtMalloc,17.086,3,5.695,0.681,15.404,47.146
host,acl,aclrtMallocHost,5.307,1,5.307,5.307,5.307,0
host,acl,aclrtMemcpy,135.332,4,33.833,17.987,64.486,325.118
host,acl,aclrtResetDevice,3231626.972,1,3231626.972,3231626.972,3231626.972,0
host,acl,aclrtSynchronizeStream,15.093,1,15.093,15.093,15.093,0
host,node,launch,1045.609,1,1045.609,1045.609,1045.609,0
