Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,runtime,DevBinaryRegister,25.017,1,25.017,25.017,25.017,0
host,runtime,DevFree,8.163,3,2.721,1.132,5.298,3.381
host,runtime,DevMalloc,3.475,3,1.158,0.691,1.843,0.245
host,runtime,DeviceReset,3408930.016,1,3408930.016,3408930.016,3408930.016,0
host,runtime,FunctionRegister,11.086,1,11.086,11.086,11.086,0
host,runtime,HostFree,3.355,1,3.355,3.355,3.355,0
host,runtime,HostMalloc,3.595,1,3.595,3.595,3.595,0
host,runtime,KernelLaunch,404.797,1,404.797,404.797,404.797,0
host,runtime,MemCopySync,104.038,4,26.01,17.397,38.929,63.325
host,runtime,StreamCreate,320.711,1,320.711,320.711,320.711,0
host,runtime,StreamDestroy,178.408,1,178.408,178.408,178.408,0
host,runtime,StreamSyncTaskFinish,0,3,0,0,0,0
host,runtime,StreamSynchronize,13.19,1,13.19,13.19,13.19,0
host,acl,aclrtCreateStream,346.23,1,346.23,346.23,346.23,0
host,acl,aclrtDestroyStream,179.841,1,179.841,179.841,179.841,0
host,acl,aclrtFree,10.195,3,3.398,1.542,6.53,4.96
host,acl,aclrtFreeHost,4.356,1,4.356,4.356,4.356,0
host,acl,aclrtMalloc,15.834,3,5.278,0.962,13.52,33.991
host,acl,aclrtMallocHost,6.7,1,6.7,6.7,6.7,0
host,acl,aclrtMemcpy,109.063,4,27.266,18.398,41.943,78.474
host,acl,aclrtResetDevice,3408936.055,1,3408936.055,3408936.055,3408936.055,0
host,acl,aclrtSynchronizeStream,14.371,1,14.371,14.371,14.371,0
host,node,launch,454.913,1,454.913,454.913,454.913,0
