Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,runtime,DevBinaryRegister,23.976,1,23.976,23.976,23.976,0
host,runtime,DevFree,8.283,3,2.761,1.453,5.118,2.789
host,runtime,DevMalloc,3.295,3,1.098,0.721,1.693,0.181
host,runtime,DeviceReset,3229651.196,1,3229651.196,3229651.196,3229651.196,0
host,runtime,FunctionRegister,18.088,1,18.088,18.088,18.088,0
host,runtime,HostFree,3.616,1,3.616,3.616,3.616,0
host,runtime,HostMalloc,4.407,1,4.407,4.407,4.407,0
host,runtime,KernelLaunch,435.283,1,435.283,435.283,435.283,0
host,runtime,MemCopySync,117.516,4,29.379,19.199,48.252,124.403
host,runtime,StreamCreate,355.384,1,355.384,355.384,355.384,0
host,runtime,StreamDestroy,187.441,1,187.441,187.441,187.441,0
host,runtime,StreamSyncTaskFinish,0,3,0,0,0,0
host,runtime,StreamSynchronize,18.728,1,18.728,18.728,18.728,0
host,acl,aclrtCreateStream,379.85,1,379.85,379.85,379.85,0
host,acl,aclrtDestroyStream,188.674,1,188.674,188.674,188.674,0
host,acl,aclrtFree,10.216,3,3.405,1.943,6.32,4.248
host,acl,aclrtFreeHost,4.457,1,4.457,4.457,4.457,0
host,acl,aclrtMalloc,17.145,3,5.715,1.021,14.792,41.212
host,acl,aclrtMallocHost,6.15,1,6.15,6.15,6.15,0
host,acl,aclrtMemcpy,121.883,4,30.471,19.91,50.917,144.612
host,acl,aclrtResetDevice,3229660.53,1,3229660.53,3229660.53,3229660.53,0
host,acl,aclrtSynchronizeStream,19.87,1,19.87,19.87,19.87,0
host,node,launch,493.271,1,493.271,493.271,493.271,0
